Timestamp,Temperature (°C),Pressure (hPa),Altitude (m),Humidity (%),Acceleration_X (m/s²),Acceleration_Y (m/s²),Acceleration_Z (m/s²),Velocity_X (m/s),Velocity_Y (m/s),Velocity_Z (m/s),AirQuality,Latitude,Longitude
2025-02-10 20:23:41,26.91,970.77,359.86,31.81,0.96,-0.31,-4.54,0.0,0.0,0.0,1921.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:44,26.91,970.77,359.83,31.21,1.01,-0.32,-4.78,2.16,-0.68,-0.01,1858.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:46,26.92,970.77,359.84,31.2,1.05,-0.34,-5.00,4.4,-1.4,0.0,1818.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:48,26.92,970.76,359.95,30.82,1.10,-0.35,-5.19,6.74,-2.14,0.05,1795.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:50,26.92,970.72,360.29,30.46,1.13,-0.37,-5.38,9.14,-2.93,0.16,1756.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:52,26.93,970.76,359.88,30.4,1.17,-0.38,-5.53,11.77,-3.78,-0.18,1764.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:54,26.92,970.75,360.01,30.15,1.19,-0.39,-5.67,14.29,-4.61,0.06,1838.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:57,26.92,970.80,359.61,29.72,1.23,-0.40,-5.80,16.92,-5.47,-0.19,1805.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:23:59,26.92,970.76,359.89,29.48,1.25,-0.40,-5.91,19.58,-6.32,0.13,1784.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:01,26.92,970.78,359.78,29.17,1.28,-0.41,-6.01,22.32,-7.2,-0.05,1719.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:03,26.91,970.78,359.75,28.93,1.30,-0.41,-6.10,25.07,-8.07,-0.01,1664.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:05,26.91,970.77,359.84,28.9,1.32,-0.41,-6.18,28.01,-8.98,0.04,1633.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:07,26.91,970.77,359.83,30.08,1.33,-0.43,-6.25,30.87,-9.9,-0.0,1674.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:09,26.92,970.79,359.64,30.62,1.35,-0.42,-6.33,33.74,-10.79,-0.09,1677.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:12,26.93,970.79,359.65,30.89,1.36,-0.43,-6.39,36.62,-11.7,0.0,1672.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:14,26.94,970.74,360.11,31.05,1.37,-0.43,-6.45,39.54,-12.62,0.22,1675.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:16,26.94,970.78,359.75,31.12,1.38,-0.44,-6.51,42.63,-13.6,-0.16,1681.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:18,26.94,970.75,359.98,30.7,1.39,-0.44,-6.56,45.61,-14.54,0.11,1676.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:20,26.95,970.77,359.86,31.25,1.40,-0.44,-6.60,48.61,-15.48,-0.06,1676.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:22,26.96,970.79,359.65,31.3,1.41,-0.44,-6.63,51.61,-16.42,-0.1,1661.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:24,26.96,970.75,360.02,31.48,1.42,-0.44,-6.66,54.64,-17.36,0.17,1648.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:27,26.98,970.77,359.85,31.38,1.43,-0.44,-6.68,57.66,-18.29,-0.08,1700.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:29,26.98,970.79,359.68,31.1,1.43,-0.44,-6.71,60.73,-19.24,-0.08,1644.00(Unhealthy),0.000000,0.000000#
2025-02-10 20:24:31,26.98,970.77,359.85,30.88,1.44,-0.45,-6.74,63.94,-20.24,0.08,1661.00(Unhealthy),0.000000,0.000000#
